Time(s),CELL VOLTAGE 1 (100 uV),CELL VOLTAGE 2 (100 uV),CELL VOLTAGE 3 (100 uV),CELL VOLTAGE 4 (100 uV),CELL VOLTAGE 5 (100 uV),CELL VOLTAGE 6 (100 uV),CELL VOLTAGE 7 (100 uV),CELL VOLTAGE 8 (100 uV),CELL VOLTAGE 9 (100 uV),CELL VOLTAGE 10 (100 uV),CELL VOLTAGE 11 (100 uV),CELL VOLTAGE 12 (100 uV),Temperature 1(C),Temperature 2(C),Temperature 3(C)
446.474,0,0,0,38526,38549,38562,38532,38513,38523,38526,38560,38505,0,124,124,124
451.456,38559,38545,38537,38530,38554,38563,38533,38512,38529,38526,38557,38514,124,124,124,124
455.989,38568,38545,38489,38528,38545,38545,38522,38567,38558,38527,38569,38506,124,124,124,124
460.974,38733,38726,38670,38708,38707,38709,38711,38740,38910,38694,38709,38681,124,124,124,124
465.969,39280,39263,39211,39260,39279,39256,39255,39308,39978,39233,39278,39238,124,124,124,124
470.922,39341,39325,39274,39320,39338,39317,39318,39371,40042,39292,39337,39294,124,124,124,124
475.948,39372,39376,39328,39356,39364,39362,39364,39396,40076,39320,39364,39351,124,124,124,124
480.974,39438,39397,39358,39409,39416,39390,39403,39390,40115,39387,39419,39377,124,124,124,124
485.961,39447,39445,39397,39422,39437,39442,39434,39451,40150,39399,39440,39421,124,124,124,124
490.937,39483,39472,39420,39460,39474,39461,39465,39511,40185,39426,39474,39446,124,124,124,124
495.967,39504,39493,39442,39486,39504,39483,39488,39535,40213,39459,39504,39456,124,124,124,124
501.115,39520,39519,39468,39501,39511,39506,39508,39552,40231,39465,39513,39487,124,124,124,124
505.978,39547,39532,39484,39530,39556,39521,39528,39577,40263,39511,39549,39494,124,124,124,124
511.098,39560,39553,39502,39543,39557,39542,39543,39595,40274,39512,39560,39521,124,124,124,124
516.084,39601,39561,39519,39564,39573,39551,39568,39577,40285,39542,39575,39535,124,124,124,124
521.086,39589,39585,39538,39570,39580,39575,39577,39596,40299,39531,39584,39556,124,124,124,124
526.005,39621,39594,39552,39598,39626,39586,39599,39601,40330,39575,39618,39569,124,124,124,124
530.999,39613,39615,39568,39598,39615,39605,39605,39628,40327,39562,39608,39590,124,124,124,124
536.066,39637,39625,39579,39608,39620,39618,39624,39635,40340,39571,39635,39603,124,124,124,124
541.058,39642,39635,39588,39631,39644,39632,39630,39639,40367,39599,39648,39617,124,124,124,124
546.061,39658,39650,39602,39644,39659,39643,39643,39697,40381,39616,39661,39622,124,124,124,124
550.989,39686,39658,39615,39656,39662,39648,39660,39668,40385,39634,39672,39630,124,124,124,124
556.145,39674,39675,39626,39654,39672,39669,39672,39684,40404,39617,39680,39651,124,124,124,124
561.074,39696,39686,39635,39677,39692,39678,39680,39728,40414,39651,39696,39664,124,124,124,124
566.005,39713,39695,39647,39682,39692,39686,39696,39705,40410,39652,39706,39670,124,124,124,124
571.003,39705,39707,39658,39695,39707,39700,39698,39709,40440,39661,39710,39687,124,124,124,124
576.201,39727,39717,39666,39708,39722,39709,39711,39759,40447,39680,39725,39698,124,124,124,124
581.049,39752,39723,39677,39724,39718,39714,39728,39736,40453,39702,39734,39702,124,124,124,124
586.038,39753,39732,39684,39734,39762,39726,39731,39737,40467,39713,39756,39703,124,124,124,124
591.063,39769,39732,39697,39746,39775,39730,39742,39753,40480,39725,39766,39713,124,124,124,124
596.111,39773,39748,39707,39757,39780,39745,39753,39763,40495,39735,39778,39724,124,124,124,124
601.548,39778,39764,39718,39758,39776,39760,39764,39769,40500,39728,39777,39740,124,124,124,124
606.004,39791,39771,39727,39775,39792,39766,39775,39785,40513,39750,39792,39743,124,124,124,124
611.051,39791,39789,39738,39770,39781,39776,39784,39819,40517,39739,39785,39766,124,124,124,124
616.111,39817,39796,39743,39794,39820,39782,39794,39839,40536,39774,39816,39773,124,124,124,124
621.022,39804,39801,39758,39784,39795,39794,39796,39820,40530,39755,39799,39787,124,124,124,124
626.031,39814,39813,39765,39796,39809,39806,39804,39815,40550,39759,39823,39798,124,124,124,124
631.051,39829,39825,39766,39814,39822,39815,39813,39853,40552,39786,39829,39792,124,124,124,124
636.090,39842,39831,39785,39811,39826,39824,39833,39840,40558,39777,39836,39817,124,124,124,124
641.086,39844,39840,39790,39831,39850,39833,39837,39841,40583,39799,39850,39825,124,124,124,124
646.091,39864,39848,39798,39841,39855,39841,39849,39855,40588,39814,39860,39834,124,124,124,124
651.699,39876,39857,39806,39853,39868,39849,39858,39861,40598,39826,39873,39839,124,124,124,124
656.094,39882,39865,39815,39862,39879,39856,39864,39877,40606,39838,39882,39846,124,124,124,124
661.107,39887,39874,39824,39866,39880,39868,39872,39884,40617,39839,39886,39858,124,124,124,124
666.103,39894,39885,39833,39874,39884,39877,39879,39895,40620,39843,39890,39873,124,124,124,124
671.135,39908,39884,39838,39887,39882,39880,39883,39889,40617,39866,39905,39872,124,124,124,124
676.110,39899,39903,39851,39884,39908,39896,39900,39914,40646,39868,39907,39893,124,124,124,124
681.029,39920,39909,39915,39899,39912,39902,39908,39920,40635,39853,39917,39897,124,124,124,124
686.070,39924,39918,39870,39900,39908,39911,39909,39930,40647,39866,39925,39905,124,124,124,124
691.067,39935,39924,39873,39914,39919,39918,39920,39925,40656,39886,39940,39910,124,124,124,124
696.621,39936,39932,39883,39918,39929,39927,39932,39938,40678,39884,39944,39922,124,124,124,124
701.176,39944,39940,39889,39926,39938,39937,39931,39940,40676,39890,39954,39930,124,124,124,124
706.653,39957,39951,39893,39946,39955,39942,39942,39980,40693,39914,39962,39921,124,124,124,124
711.091,39970,39958,39900,39954,39966,39949,39953,39989,40699,39921,39970,39925,124,124,124,124
716.600,39995,39963,39913,39962,39960,39951,39967,39969,40700,39940,39979,39944,124,124,124,124
721.139,39986,39975,39925,39958,39972,39968,39970,39984,40706,39925,39986,39961,124,124,124,124
726.630,40001,39981,39930,39972,39978,39975,39981,39992,40721,39944,39997,39965,124,124,124,124
731.119,40008,39989,39940,39980,39986,39983,39991,40001,40728,39952,40004,39974,124,124,124,124
736.175,40003,39997,39945,39991,40006,39992,39989,40000,40747,39961,40010,39985,124,124,124,124
741.575,39998,39993,39953,39979,39989,39983,40002,40011,40735,39957,39987,39987,124,124,124,124
746.195,40026,40016,39962,40000,40011,40007,40010,40056,40774,39968,40029,39992,124,124,124,124
751.079,40010,40009,39974,40002,40010,40008,40015,40030,40750,39971,40008,40007,124,124,124,124
756.163,40040,40029,40033,40018,40024,40022,40020,40023,40776,39987,40042,40015,124,124,124,124
761.088,40044,40041,39988,40030,40043,40030,40032,40076,40786,39998,40049,40018,124,124,124,124
766.127,40055,40046,39995,40039,40050,40038,40037,40087,40796,40010,40055,40025,124,124,124,124
771.101,40067,40050,40002,40042,40046,40043,40048,40061,40795,40013,40068,40028,124,124,124,124
776.549,40083,40056,40008,40058,40053,40046,40052,40055,40794,40035,40072,40039,124,124,124,124
781.102,40072,40068,40018,40052,40067,40061,40061,40070,40820,40016,40081,40055,124,124,124,124
786.585,40093,40077,40026,40065,40069,40068,40075,40088,40817,40034,40090,40060,124,124,124,124
791.070,40112,40079,40031,40081,40083,40067,40085,40085,40824,40057,40098,40061,124,124,124,124
796.103,40110,40093,40039,40091,40107,40084,40088,40100,40845,40064,40110,40074,124,124,124,124
801.114,40113,40097,40045,40096,40110,40088,40092,40140,40850,40073,40114,40070,124,124,124,124
806.594,40105,40101,40056,40083,40095,40089,40105,40112,40834,40055,40095,40090,124,124,124,124
811.114,40133,40104,40062,40109,40114,40101,40109,40111,40853,40086,40127,40084,124,124,124,124
816.178,40134,40122,40072,40118,40128,40112,40114,40161,40878,40092,40135,40098,124,124,124,124
821.225,40141,40125,40079,40118,40122,40119,40122,40137,40870,40090,40142,40103,124,124,124,124
826.096,40153,40129,40080,40133,40126,40124,40131,40130,40871,40111,40148,40117,124,124,124,124
831.307,40154,40141,40089,40128,40144,40145,40138,40141,40882,40102,40155,40123,124,124,124,124
836.227,40167,40154,40099,40132,40153,40153,40148,40190,40909,40104,40163,40135,124,124,124,124
841.210,40177,40161,40105,40149,40153,40150,40160,40197,40923,40114,40172,40141,124,124,124,124
846.163,40185,40162,40113,40165,40188,40150,40162,40204,40922,40145,40188,40136,124,124,124,124
851.213,40187,40171,40121,40160,40165,40165,40170,40178,40912,40128,40186,40156,124,124,124,124
856.161,40199,40174,40126,40176,40170,40167,40174,40173,40917,40152,40190,40155,124,124,124,124
861.258,40198,40186,40134,40173,40185,40192,40180,40186,40925,40142,40201,40165,124,124,124,124
866.133,40216,40198,40143,40187,40189,40183,40196,40233,40965,40150,40210,40177,124,124,124,124
871.609,40186,40199,40152,40187,40191,40189,40192,40221,40960,40153,40194,40185,124,124,124,124
876.202,40190,40205,40160,40193,40200,40195,40205,40226,40971,40160,40203,40192,124,124,124,124
881.255,40227,40212,40213,40215,40239,40206,40202,40207,40964,40186,40231,40195,124,124,124,124
886.204,40231,40219,40172,40213,40224,40227,40215,40231,40969,40185,40237,40200,124,124,124,124
891.183,40239,40233,40181,40213,40225,40219,40227,40262,40979,40177,40236,40214,124,124,124,124
896.746,40258,40240,40187,40236,40248,40228,40237,40246,40996,40207,40254,40217,124,124,124,124
901.158,40256,40244,40195,40237,40243,40237,40239,40251,40990,40199,40252,40228,124,124,124,124
906.682,40262,40254,40202,40246,40253,40243,40247,40292,41008,40215,40260,40229,124,124,124,124
911.653,40281,40253,40206,40260,40284,40243,40255,40294,41011,40241,40283,40229,124,124,124,124
916.299,40277,40264,40215,40258,40257,40257,40265,40261,41012,40225,40279,40246,124,124,124,124
921.178,40283,40271,40219,40273,40287,40264,40267,40271,41028,40243,40293,40253,124,124,124,124
926.247,40309,40279,40230,40269,40271,40278,40280,40290,41029,40237,40290,40253,124,124,124,124
931.643,40294,40289,40233,40284,40295,40278,40277,40325,41038,40259,40301,40270,124,124,124,124
936.296,40297,40296,40242,40288,40296,40285,40284,40329,41051,40258,40303,40277,124,124,124,124
941.210,40327,40302,40251,40298,40297,40289,40303,40303,41045,40268,40315,40279,124,124,124,124
946.190,40323,40311,40261,40303,40310,40301,40304,40317,41061,40268,40318,40289,124,124,124,124
951.209,40318,40317,40266,40303,40312,40308,40309,40317,41071,40263,40326,40297,124,124,124,124
956.232,40338,40323,40272,40310,40320,40326,40316,40321,41068,40281,40334,40299,124,124,124,124
961.274,40362,40330,40278,40330,40330,40317,40333,40366,41098,40300,40345,40304,124,124,124,124
966.171,40351,40338,40285,40332,40328,40329,40332,40333,41080,40301,40352,40316,124,124,124,124
971.328,40358,40345,40294,40335,40341,40348,40339,40340,41088,40300,40359,40324,124,124,124,124
976.184,40357,40356,40301,40337,40359,40352,40343,40386,41114,40309,40363,40341,124,124,124,124
981.738,40380,40364,40307,40350,40353,40350,40357,40401,41124,40312,40372,40338,124,124,124,124
986.218,40374,40368,40317,40351,40361,40357,40362,40392,41119,40313,40369,40351,124,124,124,124
991.237,40389,40374,40320,40368,40366,40364,40371,40363,41118,40334,40388,40354,124,124,124,124
996.190,40396,40380,40328,40370,40383,40385,40373,40378,41125,40338,40392,40359,124,124,124,124
1001.834,40414,40392,40336,40374,40389,40391,40391,40424,41153,40342,40399,40366,124,124,124,124
1006.199,40413,40401,40343,40381,40402,40396,40394,40434,41153,40354,40407,40384,124,124,124,124
1011.265,40429,40399,40350,40404,40395,40389,40398,40394,41143,40376,40414,40380,124,124,124,124
1016.187,40428,40412,40357,40400,40411,40414,40404,40407,41151,40368,40421,40391,124,124,124,124
1021.194,40429,40420,40366,40404,40424,40420,40412,40455,41180,40372,40428,40403,124,124,124,124
1026.254,40442,40409,40375,40405,40414,40407,40425,40428,41165,40371,40413,40417,124,124,124,124
1031.296,40446,40432,40376,40434,40446,40424,40423,40423,41185,40401,40449,40418,124,124,124,124
1036.302,40462,40438,40389,40431,40440,40443,40441,40440,41182,40398,40453,40421,124,124,124,124
1041.402,40471,40451,40395,40447,40461,40439,40446,40489,41208,40421,40465,40433,124,124,124,124
1046.696,40487,40454,40404,40455,40455,40441,40456,40459,41206,40426,40469,40432,124,124,124,124
1051.234,40488,40463,40410,40456,40459,40454,40465,40469,41211,40420,40478,40444,124,124,124,124
1056.397,40474,40472,40419,40463,40467,40461,40467,40484,41236,40421,40470,40457,124,124,124,124
1061.255,40489,40478,40424,40468,40473,40470,40473,40479,41230,40427,40490,40464,124,124,124,124
1066.250,40498,40485,40432,40475,40489,40488,40479,40483,41236,40447,40496,40474,124,124,124,124
1071.244,40515,40496,40442,40493,40500,40484,40491,40532,41252,40458,40506,40479,124,124,124,124
1076.348,40521,40501,40451,40499,40507,40493,40501,40509,41260,40461,40511,40482,124,124,124,124
1081.278,40537,40511,40458,40506,40502,40500,40514,40516,41258,40470,40523,40498,124,124,124,124
1086.271,40534,40520,40458,40518,40524,40509,40512,40546,41270,40480,40528,40491,124,124,124,124
1091.234,40542,40526,40475,40512,40520,40517,40520,40532,41269,40472,40532,40513,124,124,124,124
1096.427,40545,40532,40481,40522,40528,40523,40529,40535,41292,40480,40543,40523,124,124,124,124
1101.215,40566,40541,40488,40544,40553,40531,40539,40549,41301,40511,40556,40528,124,124,124,124
1106.282,40572,40545,40494,40552,40567,40539,40546,40554,41308,40522,40568,40527,124,124,124,124
1111.717,40564,40555,40505,40545,40555,40541,40551,40562,41298,40507,40551,40546,124,124,124,124
1116.246,40588,40561,40510,40570,40581,40554,40560,40570,41326,40540,40583,40544,124,124,124,124
1121.267,40589,40575,40522,40559,40573,40562,40568,40580,41312,40520,40576,40560,124,124,124,124
1126.307,40603,40581,40530,40571,40577,40574,40582,40589,41331,40529,40592,40577,124,124,124,124
1131.291,40611,40593,40532,40589,40590,40580,40594,40613,41342,40553,40594,40569,124,124,124,124
1136.195,40617,40597,40545,40595,40600,40590,40597,40603,41359,40559,40606,40587,124,124,124,124
1141.778,40634,40607,40551,40601,40601,40598,40606,40612,41355,40565,40620,40599,124,124,124,124
1146.265,40644,40615,40559,40612,40606,40606,40617,40623,41363,40578,40628,40607,124,124,124,124
1151.253,40644,40626,40567,40620,40618,40612,40628,40644,41375,40585,40622,40607,124,124,124,124
1156.324,40649,40628,40572,40636,40644,40623,40622,40622,41388,40603,40648,40624,124,124,124,124
1161.281,40671,40632,40584,40629,40633,40637,40641,40637,41391,40593,40648,40621,124,124,124,124
1166.266,40669,40650,40592,40645,40649,40640,40644,40682,41403,40607,40654,40643,124,124,124,124
1171.271,40670,40657,40602,40649,40655,40652,40651,40658,41413,40606,40668,40657,124,124,124,124
1176.233,40696,40664,40603,40671,40679,40656,40671,40692,41421,40630,40682,40653,124,124,124,124
1181.277,40698,40671,40619,40677,40683,40667,40671,40680,41438,40642,40689,40666,124,124,124,124
1186.362,40707,40680,40628,40677,40680,40675,40681,40687,41432,40639,40698,40678,124,124,124,124
1191.234,40718,40693,40630,40696,40704,40685,40695,40717,41449,40657,40707,40675,124,124,124,124
1196.315,40736,40699,40644,40700,40694,40692,40707,40702,41452,40665,40715,40701,124,124,124,124
1201.276,40737,40706,40644,40716,40722,40703,40714,40700,41463,40673,40725,40694,124,124,124,124
1206.312,40740,40720,40663,40710,40716,40718,40716,40755,41479,40679,40724,40721,124,124,124,124
1211.374,40754,40728,40664,40732,40736,40720,40729,40757,41484,40693,40741,40720,124,124,124,124
1216.352,40753,40735,40683,40730,40730,40726,40735,40744,41486,40691,40730,40741,124,124,124,124
1221.382,40769,40742,40678,40751,40742,40738,40744,40753,41498,40707,40760,40740,124,124,124,124
1226.310,40770,40757,40697,40750,40760,40744,40750,40765,41520,40709,40758,40758,124,124,124,124
1231.308,40791,40763,40706,40764,40764,40759,40773,40767,41513,40725,40771,40764,124,124,124,124
1236.367,40803,40771,40709,40784,40786,40769,40778,40770,41528,40738,40789,40763,124,124,124,124
1241.334,40811,40783,40729,40775,40782,40780,40788,40790,41534,40748,40782,40791,124,124,124,124
1246.289,40821,40796,40731,40794,40795,40786,40800,40816,41547,40758,40797,40790,124,124,124,124
1251.273,40832,40799,40738,40814,40820,40797,40805,40798,41563,40768,40820,40791,124,124,124,124
1256.300,40841,40809,40754,40802,40820,40818,40812,40818,41572,40770,40826,40818,124,124,124,124
1261.314,40867,40817,40758,40834,40850,40810,40831,40841,41584,40788,40846,40815,124,124,124,124
1266.450,40856,40831,40776,40828,40839,40824,40834,40841,41586,40788,40834,40840,124,124,124,124
1271.311,40874,40840,40776,40844,40844,40837,40846,40844,41596,40805,40856,40843,124,124,124,124
1276.342,40881,40854,40789,40853,40856,40846,40859,40874,41606,40818,40858,40850,124,124,124,124
1281.367,40884,40858,40800,40867,40878,40857,40858,40861,41624,40832,40876,40875,124,124,124,124
1286.331,40903,40868,40805,40880,40870,40867,40874,40868,41630,40838,40888,40864,124,124,124,124
1291.265,40910,40884,40822,40878,40893,40884,40884,40891,41648,40849,40891,40892,124,124,124,124
1296.377,40923,40892,40825,40898,40901,40886,40897,40920,41654,40859,40904,40892,124,124,124,124
1301.296,40935,40902,40844,40897,40905,40898,40910,40910,41649,40856,40917,40917,124,124,124,124
1306.281,40952,40910,40845,40925,40934,40906,40923,40909,41673,40879,40931,40914,124,124,124,124
1311.263,40956,40920,40862,40914,40931,40929,40925,40928,41681,40879,40937,40938,124,124,124,124
1316.401,40974,40930,40865,40945,40962,40925,40941,40960,41696,40901,40955,40929,124,124,124,124
1321.325,40977,40939,40881,40953,40964,40940,40948,40952,41704,40913,40963,40954,124,124,124,124
1326.287,40987,40955,40888,40960,40971,40951,40963,40981,41711,40920,40968,40959,124,124,124,124
1331.297,40998,40961,40895,40975,40982,40962,40966,40963,41721,40932,40982,40967,124,124,124,124
1336.355,41010,40975,40916,40974,40991,40979,40985,40979,41724,40946,40987,40993,124,124,124,124
1341.353,41018,40986,40921,40991,40992,40981,40988,41013,41741,40953,40990,40994,124,124,124,124
1346.356,41031,40998,40931,41002,41007,40994,41007,41021,41756,40965,41006,41005,124,124,124,124
1351.354,41042,41004,40939,41019,41021,41004,41015,41006,41767,40976,41023,41014,124,124,124,124
1356.340,41060,41012,40948,41024,41044,41023,41027,41013,41779,40976,41042,41021,124,124,124,124
1361.290,41045,41009,40967,41018,41017,41009,41036,41027,41774,40987,41008,41030,124,124,124,124
1366.345,41066,41036,40969,41053,41060,41038,41036,41053,41798,41007,41055,41052,124,124,124,124
1371.430,41088,41048,40983,41058,41055,41048,41056,41047,41808,41019,41067,41058,124,124,124,124
1376.344,41104,41058,40993,41070,41089,41072,41072,41055,41824,41023,41086,41067,124,124,124,124
1381.307,41112,41071,41004,41077,41096,41080,41083,41099,41836,41033,41094,41080,124,124,124,124
1386.358,41117,41086,41018,41090,41100,41081,41091,41112,41846,41053,41097,41093,124,124,124,124
1391.316,41122,41090,41033,41094,41096,41086,41098,41102,41844,41059,41089,41110,124,124,124,124
1396.389,41134,41102,41032,41114,41110,41105,41105,41121,41862,41073,41121,41118,124,124,124,124
1401.400,41142,41116,41058,41115,41124,41110,41125,41131,41876,41078,41120,41133,124,124,124,124
1406.366,41164,41130,41061,41140,41146,41127,41133,41157,41893,41099,41145,41137,124,124,124,124
1411.340,41174,41137,41071,41152,41158,41138,41145,41138,41900,41109,41157,41147,124,124,124,124
1416.326,41184,41150,41084,41148,41154,41152,41157,41155,41904,41112,41156,41167,124,124,124,124
1421.379,41203,41160,41093,41177,41186,41161,41177,41163,41923,41131,41180,41180,124,124,124,124
1426.373,41193,41154,41112,41165,41168,41154,41184,41175,41918,41133,41153,41180,124,124,124,124
1431.387,41217,41182,41110,41189,41204,41196,41191,41198,41946,41145,41205,41199,124,124,124,124
1436.447,41240,41195,41127,41209,41225,41195,41209,41222,41964,41166,41215,41200,124,124,124,124
1441.322,41251,41202,41145,41220,41235,41207,41221,41214,41981,41189,41228,41225,124,124,124,124
1446.373,41259,41215,41149,41224,41241,41231,41229,41216,41979,41178,41240,41226,124,124,124,124
1451.349,41270,41232,41161,41235,41251,41242,41242,41260,41994,41191,41252,41241,124,124,124,124
1456.411,41281,41242,41172,41251,41260,41242,41255,41269,42007,41213,41260,41251,124,124,124,124
1461.440,40593,40565,40491,40572,40563,40561,40572,40583,40571,40570,40561,40542,124,124,124,124
1466.386,40530,40507,40439,40504,40492,40499,40512,40522,40499,40495,40491,40487,124,124,124,124
1471.389,40485,40454,40388,40469,40466,40449,40467,40437,40454,40466,40456,40436,124,124,124,124
1476.378,40446,40423,40355,40418,40426,40443,40436,40400,40415,40402,40419,40417,124,124,124,124
1481.467,40422,40393,40320,40389,40387,40399,40403,40410,40396,40385,40390,40370,124,124,124,124
1486.430,40383,40367,40300,40370,40359,40363,40360,40368,40365,40364,40357,40356,124,124,124,124
1491.383,40363,40345,40281,40339,40329,40336,40341,40356,40334,40332,40327,40327,124,124,124,124
1496.467,40343,40319,40256,40325,40311,40315,40335,40299,40314,40319,40333,40305,124,124,124,124
1501.395,40304,40299,40247,40298,40300,40291,40338,40314,40305,40304,40270,40284,124,124,124,124
1506.351,40299,40291,40278,40311,40287,40297,40313,40284,40295,40284,40272,40279,124,124,124,124
1511.426,40304,40278,40211,40267,40269,40283,40280,40280,40263,40259,40272,40261,124,124,124,124
1516.362,40289,40259,40196,40257,40266,40279,40267,40233,40245,40248,40279,40247,124,124,124,124
1521.402,40269,40254,40185,40244,40266,40275,40251,40277,40251,40237,40261,40243,124,124,124,124
1526.371,40268,40244,40179,40240,40233,40237,40251,40245,40238,40230,40244,40223,124,124,124,124
1531.490,40246,40232,40165,40226,40247,40256,40247,40211,40217,40222,40240,40222,124,124,124,124
